Best_dup0,EW_dup0,MV_dup0,UCB_dup0
1.0,1.0,1.0,1.0
1.117083,1.05642656,1.0,1.0564710213145319
0.784744,0.71910984,1.0,0.7188012956985547
1.286753,1.1895002,1.0,1.1890165624156084
0.979926,0.9324901999999999,1.0,0.9322687135076998
1.396314,1.2912194,1.0,1.2911340927584647
1.279711,1.12672748,1.0,1.1271185695156172
1.003802,0.94009672,1.0,0.939924644007013
1.016712,0.97987368,1.0,0.9798379573073253
1.222932,1.1359067600000001,1.0,1.1360354151075098
1.004727,0.96233224,1.0,0.9623470338271974
1.12805,1.044945,1.0,1.0447365205792611
0.997019,0.92022012,1.0,0.920380143478584
1.083546,1.04351024,1.0,1.0435647621535873
0.919511,0.80844564,1.0,0.8084619382753737
1.044865,1.00328008,1.0,1.0031674708233516
1.115709,1.08554296,1.0,1.085224266670246
0.9658869999999999,0.91011564,1.0,0.9101925837009643
1.269318,1.14702148,1.0,1.1473898985960478
0.950448,0.88366536,1.0,0.883506700755424
2.134471,1.40593512,1.0,1.406338051355383
1.039092,0.97666796,1.0,0.9768630863042738
0.981487,0.90955068,1.0,0.9092967045441986
1.137134,1.02791708,1.0,1.0279469572543425
0.990263,0.96502484,1.0,0.9649634773843787
1.122577,1.0317102,1.0,1.0316836630356614
1.093296,1.02492824,1.0,1.0248350999208602
1.205067,1.02562392,1.0,1.0257666961410932
0.807063,0.72219072,1.0,0.7224564645457869
1.183487,1.06769992,1.0,1.068132024034417
1.073687,1.03750316,1.0,1.0376002580754928
1.052994,1.02183332,1.0,1.0217928731554111
1.076645,1.03726892,1.0,1.0373546842819976
1.115449,1.06108756,1.0,1.0611162412967323
1.083531,1.00035244,1.0,1.000274915892326
1.023815,0.98976552,1.0,0.9896000695142304
1.013858,0.96739896,1.0,0.9673466145872472
1.009805,0.97931112,1.0,0.9793788193717764
1.05197,1.0133902399999999,1.0,1.0132624249569786
0.995041,0.94116016,1.0,0.9411354024937982
1.039873,1.01354316,1.0,1.0136194087951975
1.140027,1.0602008,1.0,1.059874449214985
1.278189,1.1307407600000001,1.0,1.1307510098716378
1.025103,0.99050144,1.0,0.9905094733447856
1.007986,0.97629048,1.0,0.9761207915358876
0.996867,0.94482844,1.0,0.9445304670999458
1.007101,0.96927208,1.0,0.9692526676636208
0.966129,0.9146606,1.0,0.9145712729002221
1.3458080000000001,1.09500832,1.0,1.0955149661301666
1.006329,0.9789936,1.0,0.9790807332725204
1.014843,0.94805688,1.0,0.9480734511437588
0.998356,0.95390736,1.0,0.9538856714561694
1.082427,1.01816816,1.0,1.0180012770403255
1.057075,1.02139064,1.0,1.021422319643171
1.093443,1.04803884,1.0,1.0481744203719798
1.058611,1.0253014,1.0,1.0253605406183903
1.090701,1.0398524,1.0,1.0398044313412755
1.195671,1.09801988,1.0,1.0977843602852708
1.086365,0.98469996,1.0,0.9843998019587011
1.068995,1.03466348,1.0,1.0347642691492522
1.3260480000000001,1.14528144,1.0,1.1449815436265298
1.268748,1.11420392,1.0,1.1143814841586084
1.208898,1.11224312,1.0,1.1119437941189685
1.146181,1.03235092,1.0,1.0321394664809718
1.163047,1.08489536,1.0,1.0848515663429836
1.033129,1.0084688,1.0,1.008337076707141
0.982255,0.93536648,1.0,0.9356939118475109
1.0249,1.00177264,1.0,1.0017571041604436
1.084694,1.03553804,1.0,1.0353928017490988
1.041039,0.99657148,1.0,0.9968221546324846
0.957288,0.91416628,1.0,0.9140435913948186
1.157526,1.09174696,1.0,1.0917408227093868
1.091275,1.04324788,1.0,1.0430919980122335
1.060236,1.01708756,1.0,1.0172891153564478
1.141541,1.04513512,1.0,1.0454123102990467
1.013368,0.97397304,1.0,0.974031670173872
1.11825,1.06457448,1.0,1.0646109515250937
1.255976,1.09645416,1.0,1.09721653691355
1.0092,0.98692176,1.0,0.9869544307036214
1.071724,1.02648116,1.0,1.0264781233285083
1.029529,1.0032366,1.0,1.0032769639849792
1.013302,1.00096396,1.0,1.0010116570856153
1.04915,1.02369508,1.0,1.0237459253506436
1.152508,1.06765628,1.0,1.0675137516101032
1.216976,1.04487056,1.0,1.0448197055453803
1.143486,1.08150392,1.0,1.081606910844375
0.984794,0.94540348,1.0,0.945509416074512
1.154506,1.0870022400000001,1.0,1.0871660035637971
1.091655,1.02695232,1.0,1.0269627203647325
1.182547,1.03783368,1.0,1.0380053002994867
1.000466,0.9651544400000001,1.0,0.9651064584003322
1.116282,1.06019068,1.0,1.0600955129557337
1.148524,1.0650434,1.0,1.064842706344378
1.160294,1.06567416,1.0,1.0653657025397343
1.171829,1.0924791999999999,1.0,1.0925000299925398
1.059573,1.02407052,1.0,1.0240048815861797
1.357304,1.09678572,1.0,1.0969116125387297
